"journal_id","journal_number","journal_date","source_type","source_id","line_id","account_id","account_code","account_name","line_amount","description","tenant_id","user_id","connection_id","provider","org_id","org_name","updated_at","synced_at","department","class_name","vendor_name","vendor_id","debit_amount","credit_amount"
"sample_gl_2024__TB_4000_202411",0,"2024-11-30 00:00:00","REV","","sample_gl_2024__TB_4000_202411__0","4000","4000","Product Sales",-88236,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,88236
"sample_gl_2024__TB_4000_202412",0,"2024-12-31 00:00:00","REV","","sample_gl_2024__TB_4000_202412__0","4000","4000","Product Sales",-107844,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,107844
"sample_gl_2024__TB_4100_202401",0,"2024-01-31 00:00:00","REV","","sample_gl_2024__TB_4100_202401__0","4100","4100","Service Revenue",-15092,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,15092
"sample_gl_2024__TB_4100_202402",0,"2024-02-29 00:00:00","REV","","sample_gl_2024__TB_4100_202402__0","4100","4100","Service Revenue",-15092,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,15092
"sample_gl_2024__TB_4100_202403",0,"2024-03-31 00:00:00","REV","","sample_gl_2024__TB_4100_202403__0","4100","4100","Service Revenue",-17248,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,17248
"sample_gl_2024__TB_4100_202404",0,"2024-04-30 00:00:00","REV","","sample_gl_2024__TB_4100_202404__0","4100","4100","Service Revenue",-17248,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,17248
"sample_gl_2024__TB_4100_202405",0,"2024-05-31 00:00:00","REV","","sample_gl_2024__TB_4100_202405__0","4100","4100","Service Revenue",-17248,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,17248
"sample_gl_2024__TB_4100_202406",0,"2024-06-30 00:00:00","REV","","sample_gl_2024__TB_4100_202406__0","4100","4100","Service Revenue",-17248,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,17248
"sample_gl_2024__TB_4100_202407",0,"2024-07-31 00:00:00","REV","","sample_gl_2024__TB_4100_202407__0","4100","4100","Service Revenue",-17248,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,17248
"sample_gl_2024__TB_4100_202408",0,"2024-08-31 00:00:00","REV","","sample_gl_2024__TB_4100_202408__0","4100","4100","Service Revenue",-17248,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,17248
"sample_gl_2024__TB_4100_202409",0,"2024-09-30 00:00:00","REV","","sample_gl_2024__TB_4100_202409__0","4100","4100","Service Revenue",-19404,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,19404
"sample_gl_2024__TB_4100_202410",0,"2024-10-31 00:00:00","REV","","sample_gl_2024__TB_4100_202410__0","4100","4100","Service Revenue",-19404,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,19404
"sample_gl_2024__TB_4100_202411",0,"2024-11-30 00:00:00","REV","","sample_gl_2024__TB_4100_202411__0","4100","4100","Service Revenue",-19404,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,19404
"sample_gl_2024__TB_4100_202412",0,"2024-12-31 00:00:00","REV","","sample_gl_2024__TB_4100_202412__0","4100","4100","Service Revenue",-23716,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,23716
"sample_gl_2024__TB_4200_202401",0,"2024-01-31 00:00:00","REV","","sample_gl_2024__TB_4200_202401__0","4200","4200","Consulting Revenue",-6111,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,6111
"sample_gl_2024__TB_4200_202402",0,"2024-02-29 00:00:00","REV","","sample_gl_2024__TB_4200_202402__0","4200","4200","Consulting Revenue",-6111,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,6111
"sample_gl_2024__TB_4200_202403",0,"2024-03-31 00:00:00","REV","","sample_gl_2024__TB_4200_202403__0","4200","4200","Consulting Revenue",-6984,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,6984
"sample_gl_2024__TB_4200_202404",0,"2024-04-30 00:00:00","REV","","sample_gl_2024__TB_4200_202404__0","4200","4200","Consulting Revenue",-6984,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,6984
"sample_gl_2024__TB_4200_202405",0,"2024-05-31 00:00:00","REV","","sample_gl_2024__TB_4200_202405__0","4200","4200","Consulting Revenue",-6984,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,6984
"sample_gl_2024__TB_4200_202406",0,"2024-06-30 00:00:00","REV","","sample_gl_2024__TB_4200_202406__0","4200","4200","Consulting Revenue",-6984,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,6984
"sample_gl_2024__TB_4200_202407",0,"2024-07-31 00:00:00","REV","","sample_gl_2024__TB_4200_202407__0","4200","4200","Consulting Revenue",-6984,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,6984
"sample_gl_2024__TB_4200_202408",0,"2024-08-31 00:00:00","REV","","sample_gl_2024__TB_4200_202408__0","4200","4200","Consulting Revenue",-6984,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,6984
"sample_gl_2024__TB_4200_202409",0,"2024-09-30 00:00:00","REV","","sample_gl_2024__TB_4200_202409__0","4200","4200","Consulting Revenue",-7857,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,7857
"sample_gl_2024__TB_4200_202410",0,"2024-10-31 00:00:00","REV","","sample_gl_2024__TB_4200_202410__0","4200","4200","Consulting Revenue",-7857,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,7857
"sample_gl_2024__TB_4200_202411",0,"2024-11-30 00:00:00","REV","","sample_gl_2024__TB_4200_202411__0","4200","4200","Consulting Revenue",-7857,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,7857
"sample_gl_2024__TB_4200_202412",0,"2024-12-31 00:00:00","REV","","sample_gl_2024__TB_4200_202412__0","4200","4200","Consulting Revenue",-9603,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,9603
"sample_gl_2024__TB_4300_202401",0,"2024-01-31 00:00:00","REV","","sample_gl_2024__TB_4300_202401__0","4300","4300","Other Income",-896,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,896
"sample_gl_2024__TB_4300_202402",0,"2024-02-29 00:00:00","REV","","sample_gl_2024__TB_4300_202402__0","4300","4300","Other Income",-896,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,896
"sample_gl_2024__TB_4300_202403",0,"2024-03-31 00:00:00","REV","","sample_gl_2024__TB_4300_202403__0","4300","4300","Other Income",-1024,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,1024
"sample_gl_2024__TB_4300_202404",0,"2024-04-30 00:00:00","REV","","sample_gl_2024__TB_4300_202404__0","4300","4300","Other Income",-1024,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,1024
"sample_gl_2024__TB_4300_202405",0,"2024-05-31 00:00:00","REV","","sample_gl_2024__TB_4300_202405__0","4300","4300","Other Income",-1024,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,1024
"sample_gl_2024__TB_4300_202406",0,"2024-06-30 00:00:00","REV","","sample_gl_2024__TB_4300_202406__0","4300","4300","Other Income",-1024,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,1024
"sample_gl_2024__TB_4300_202407",0,"2024-07-31 00:00:00","REV","","sample_gl_2024__TB_4300_202407__0","4300","4300","Other Income",-1024,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,1024
"sample_gl_2024__TB_4300_202408",0,"2024-08-31 00:00:00","REV","","sample_gl_2024__TB_4300_202408__0","4300","4300","Other Income",-1024,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,1024
"sample_gl_2024__TB_4300_202409",0,"2024-09-30 00:00:00","REV","","sample_gl_2024__TB_4300_202409__0","4300","4300","Other Income",-1152,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,1152
"sample_gl_2024__TB_4300_202410",0,"2024-10-31 00:00:00","REV","","sample_gl_2024__TB_4300_202410__0","4300","4300","Other Income",-1152,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,1152
"sample_gl_2024__TB_4300_202411",0,"2024-11-30 00:00:00","REV","","sample_gl_2024__TB_4300_202411__0","4300","4300","Other Income",-1152,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,1152
"sample_gl_2024__TB_4300_202412",0,"2024-12-31 00:00:00","REV","","sample_gl_2024__TB_4300_202412__0","4300","4300","Other Income",-1408,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,1408
"sample_gl_2024__TB_5000_202401",0,"2024-01-31 00:00:00","COGS","","sample_gl_2024__TB_5000_202401__0","5000","5000","Cost of Goods Sold",30009,"Monthly COGS entry","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",30009,0
"sample_gl_2024__TB_5000_202402",0,"2024-02-29 00:00:00","COGS","","sample_gl_2024__TB_5000_202402__0","5000","5000","Cost of Goods Sold",30009,"Monthly COGS entry","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",30009,0
"sample_gl_2024__TB_5000_202403",0,"2024-03-31 00:00:00","COGS","","sample_gl_2024__TB_5000_202403__0","5000","5000","Cost of Goods Sold",34296,"Monthly COGS entry","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",34296,0
"sample_gl_2024__TB_5000_202404",0,"2024-04-30 00:00:00","COGS","","sample_gl_2024__TB_5000_202404__0","5000","5000","Cost of Goods Sold",34296,"Monthly COGS entry","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",34296,0
"sample_gl_2024__TB_5000_202405",0,"2024-05-31 00:00:00","COGS","","sample_gl_2024__TB_5000_202405__0","5000","5000","Cost of Goods Sold",34296,"Monthly COGS entry","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",34296,0
"sample_gl_2024__TB_5000_202406",0,"2024-06-30 00:00:00","COGS","","sample_gl_2024__TB_5000_202406__0","5000","5000","Cost of Goods Sold",34296,"Monthly COGS entry","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",34296,0
"sample_gl_2024__TB_5000_202407",0,"2024-07-31 00:00:00","COGS","","sample_gl_2024__TB_5000_202407__0","5000","5000","Cost of Goods Sold",34296,"Monthly COGS entry","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",34296,0
"sample_gl_2024__TB_5000_202408",0,"2024-08-31 00:00:00","COGS","","sample_gl_2024__TB_5000_202408__0","5000","5000","Cost of Goods Sold",34296,"Monthly COGS entry","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",34296,0
"sample_gl_2024__TB_5000_202409",0,"2024-09-30 00:00:00","COGS","","sample_gl_2024__TB_5000_202409__0","5000","5000","Cost of Goods Sold",38583,"Monthly COGS entry","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",38583,0
"sample_gl_2024__TB_5000_202410",0,"2024-10-31 00:00:00","COGS","","sample_gl_2024__TB_5000_202410__0","5000","5000","Cost of Goods Sold",38583,"Monthly COGS entry","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",38583,0
"sample_gl_2024__TB_5000_202411",0,"2024-11-30 00:00:00","COGS","","sample_gl_2024__TB_5000_202411__0","5000","5000","Cost of Goods Sold",38583,"Monthly COGS entry","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",38583,0
"sample_gl_2024__TB_5000_202412",0,"2024-12-31 00:00:00","COGS","","sample_gl_2024__TB_5000_202412__0","5000","5000","Cost of Goods Sold",47157,"Monthly COGS entry","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",47157,0
"sample_gl_2024__TB_5100_202401",0,"2024-01-31 00:00:00","COGS","","sample_gl_2024__TB_5100_202401__0","5100","5100","Direct Labor",6902,"Monthly COGS entry","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",6902,0
"sample_gl_2024__TB_5100_202402",0,"2024-02-29 00:00:00","COGS","","sample_gl_2024__TB_5100_202402__0","5100","5100","Direct Labor",6902,"Monthly COGS entry","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",6902,0
"sample_gl_2024__TB_5100_202403",0,"2024-03-31 00:00:00","COGS","","sample_gl_2024__TB_5100_202403__0","5100","5100","Direct Labor",7888,"Monthly COGS entry","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",7888,0
"sample_gl_2024__TB_5100_202404",0,"2024-04-30 00:00:00","COGS","","sample_gl_2024__TB_5100_202404__0","5100","5100","Direct Labor",7888,"Monthly COGS entry","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",7888,0
"sample_gl_2024__TB_5100_202405",0,"2024-05-31 00:00:00","COGS","","sample_gl_2024__TB_5100_202405__0","5100","5100","Direct Labor",7888,"Monthly COGS entry","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",7888,0
"sample_gl_2024__TB_5100_202406",0,"2024-06-30 00:00:00","COGS","","sample_gl_2024__TB_5100_202406__0","5100","5100","Direct Labor",7888,"Monthly COGS entry","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",7888,0
"sample_gl_2024__TB_5100_202407",0,"2024-07-31 00:00:00","COGS","","sample_gl_2024__TB_5100_202407__0","5100","5100","Direct Labor",7888,"Monthly COGS entry","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",7888,0
"sample_gl_2024__TB_5100_202408",0,"2024-08-31 00:00:00","COGS","","sample_gl_2024__TB_5100_202408__0","5100","5100","Direct Labor",7888,"Monthly COGS entry","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",7888,0
"sample_gl_2024__TB_5100_202409",0,"2024-09-30 00:00:00","COGS","","sample_gl_2024__TB_5100_202409__0","5100","5100","Direct Labor",8874,"Monthly COGS entry","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",8874,0
"sample_gl_2024__TB_5100_202410",0,"2024-10-31 00:00:00","COGS","","sample_gl_2024__TB_5100_202410__0","5100","5100","Direct Labor",8874,"Monthly COGS entry","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",8874,0
"sample_gl_2024__TB_5100_202411",0,"2024-11-30 00:00:00","COGS","","sample_gl_2024__TB_5100_202411__0","5100","5100","Direct Labor",8874,"Monthly COGS entry","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",8874,0
